1;49;WMZ;WMZ;840;1;110010111001100000000000000000000000000000011101011001110011001111111001111100111100000100000001000111001100110110011111111111111111111101111111111111000100001011111011000100101001010001110100110101
2;50;WMR;WMR;643;1;111010111101101000000110001010000100000000010001101000110011001110111001111100011000000100000001000111001100110110011111111111111011111101111111111111000000001011111011000100100000000001010100110101
3;51;WME;WME;978;1;100000000000000000000000000000000000000000011101110000110000001111000000001100000000000000000000000000000000110010011010000000000011111101011111111101000000000001111011000100100001000000000000001101
4;139;Беларусбанк;BYN БелБанк;974;3;111110111101111111110110011011100101100011110011111000000011111111111111111100111000000000000001100111111100110010011011010110001011000000011101111101001100101110000010001100001000000000000000000000
55;130;Приват 24 USD;USD Приват24;840;3;111010111101111111110110011011000100010011100000110000000011011111111111100000010000000000000001000110011000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000
6;48;Яндекс.Деньги;RUB Я.Деньги;643;1;111111111101111111111111111111101111111111111110111000011011111110111111111101111110000111110001100111011100110110011111111111111011111111111111111111001100001010111110000100000010000000100000110001
7;182;WU RUB;RUB WU;643;4;100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42;109;Сбербанк;RUB Сбербанк;643;3;111111111101111111111111111111111111111111111111111000010011111111111111111100111110000110010001100111111100010010010000010110001011111101011110110101001100100110001000001100001000000000000000100000
48;31;OmiseGO (OMG);OMG;105;0;111010111101111111111110111011111111111111110011010000000011111010111101110000010000000000000000011110011000111111011111111110001011111111011101111101001101101010101000101100001001000011111100100100
15;181;WU EUR;EUR WU;978;4;110010111101111111111110101011111111111100010001100000000011000000101101010000010000000000000000000100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18;53;WMB;WMB;974;1;000000000000000000000000000000000000000000010001111000010000000000000000000000000000000000000000000000000000000000000000000000000011100100000000000100000000000000001000000000000000000000000000000000
19;34;Binance Coin (BNB);BNB;109;0;111110111101111111110110111011111011110111111011111000000011111111111111111100110000000000010001110111111100111111011111111111111011111111111111111111011100101111111110001100001001000011111100111100
20;52;WMU;WMU;980;1;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
43;55;WMG;WMG;999;1;000000000000000000000000000000000000000000000001111000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
51;116;ВТБ;RUB ВТБ;643;3;111111111101111111111111111111111111111111111111110000010011111111111111111100111110000110000001100111111100100000000000000110001011111101000000100100001100100110001000001100001000000000000000000000
47;54;WMK;WMK;398;1;000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000001000000000000000010000000000000000000000000000001
40;59;Perfect Money USD;USD PM;840;1;111111111101111111111111111111111111111111111111111000001011111111111111111101111111100111110111100111111100111111011111111111111111111111111111111111011100101111111111111100111011111111111111111110
41;60;Perfect Money EUR;EUR PM;978;1;111111111101111111111111111011111111111111111111111000001011111111111111111100111111100110100001100111111100111110011111111111111111111111111111111111001100101111111111011100111011111101110011111110
45;63;PayPal USD;USD PayPal;840;1;100000000000000000000000000000000000000000010001111000000011000000111001001100000000000000000000000000000000000000000000000000000011111101000000000100000000000000001000000000000000000000000000100100
50;95;ePayService;USD ePS;840;1;000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52;110;Альфа-Банк;RUB Альфа-Банк;643;3;111111111101111111111111111111111111111111111111110000000011111111111111111100111110000110100001100111111100000000000000000110001011111101000000110100001100100110001000001100001000000000000000000000
